nome_estacao,is_terminal,is_baldeacao,linha_cor,linha_cor_2
tucuruvi,True,False,azul,None
parada_inglesa,False,False,azul,None
jd_sao_paulo,False,False,azul,None
santana,False,False,azul,None
carandiru,False,False,azul,None
portuguesa_tiete,False,False,azul,None
armenia,False,False,azul,None
tiradentes,False,False,azul,None
luz,False,False,azul,None
sao_bento,False,False,azul,None
se,False,True,azul,vermelha
liberdade,False,False,azul,None
sao_joaquim,False,False,azul,None
vergueiro,False,False,azul,None
paraiso,False,True,azul,verde
ana_rosa,False,True,azul,verde
vila_mariana,False,False,azul,None
santa_cruz,False,False,azul,None
praca_arvore,False,False,azul,None
saude,False,False,azul,None
sao_judas,False,False,azul,None
conceicao,False,False,azul,None
jabaquara,True,False,azul,None
vila_madalena,True,False,verde,None
sumare,False,False,verde,None
clinicas,False,False,verde,None
trianon_masp,False,False,verde,None
brigadeiro,False,False,verde,None
paraiso,False,True,verde,azul
ana_rosa,False,True,verde,azul
chacara_klabin,False,False,verde,None
santos_imigrantes,False,False,verde,None
alto_ipiranga,False,False,verde,None
sacoma,False,False,verde,None
tamanduatei,False,False,verde,None
vila_prudente,True,False,verde,None
barra_funda,True,False,vermelha,None
marechal_deodoro,False,False,vermelha,None
santa_cecilia,False,False,vermelha,None
republica,False,False,vermelha,None
anhangabau,False,False,vermelha,None
se,False,True,vermelha,azul
pedro_2,False,False,vermelha,None
bras,False,False,vermelha,None
belem,False,False,vermelha,None
bresser_mooca,False,False,vermelha,None
tatuape,False,False,vermelha,None
carrao,False,False,vermelha,None
penha,False,False,vermelha,None
vila_matilde,False,False,vermelha,None
guilhermina_esperanca,False,False,vermelha,None
patriarca_vila_re,False,False,vermelha,None
artur_alvim,False,False,vermelha,None
corinthians_itaquera,True,False,vermelha,None
